City,Source,Title (TR),Title (EN),Category,Area,Description (TR),Description (EN),Price,Rating,Review Count,Image URL
Amsterdam,OTA,Bar Bacán,Bar Bacán,Bar,Reguliersdwarsstraat 105,"Güney Amerika ruhunu ve 'Dia de Los Muertos' estetiğini Amsterdam'a taşıyan canlı bir kokteyl barı. Tekila ve mezcal odaklı menüsünde, çikolata ve ceviz notaları taşıyan 'Oaxacan Old Fashioned' veya liçi aromalı 'White Candle' gibi imza içecekler öne çıkar. Müzikleri ve enerjisiyle şehrin en dinamik noktalarından biridir.",A vibrant cocktail bar bringing the South American spirit and 'Dia de Los Muertos' aesthetic to Amsterdam. Its tequila and mezcal-focused menu highlights signature drinks like the 'Oaxacan Old Fashioned' with chocolate and walnut notes or the lychee-flavored 'White Candle'. One of the city's most dynamic spots with its music and energy.,medium,4.8,306,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/bar_bacan.jpg
Amsterdam,OTA,Bar Blij,Bar Blij,Bar,Bartholomeus Diazstraat 15,"Bar Blij, Amsterdam gece hayatının nabzını tutan, samimi ve enerjik bir mekandır. Yerel Hollanda biralarını tadabileceğiniz, dostlarınızla sohbet edip müziğin keyfini çıkarabileceğiniz, şehrin ruhunu yansıtan bir buluşma noktasıdır.","Bar Blij is an intimate and energetic venue keeping the pulse of Amsterdam nightlife. A meeting point reflecting the city's soul where you can taste local Dutch beers, chat with friends, and enjoy the music.",medium,4.9,230,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/bar_blij.jpg
Amsterdam,OTA,Bar Brother,Bar Brother,Bar,Curaçaostraat 95,"Bar Brother, Amsterdam gece hayatının nabzını tutan, samimi ve enerjik bir mekandır. Yerel Hollanda biralarını tadabileceğiniz, dostlarınızla sohbet edip müziğin keyfini çıkarabileceğiniz, şehrin ruhunu yansıtan bir buluşma noktasıdır.","Bar Brother is an intimate and energetic venue keeping the pulse of Amsterdam nightlife. A meeting point reflecting the city's soul where you can taste local Dutch beers, chat with friends, and enjoy the music.",medium,4.9,249,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/bar_brother.jpg
Amsterdam,OTA,Bar Mokum,Bar Mokum,Bar,Ferdinand Bolstraat 11,"Bar Mokum, Amsterdam gece hayatının nabzını tutan, samimi ve enerjik bir mekandır. Yerel Hollanda biralarını tadabileceğiniz, dostlarınızla sohbet edip müziğin keyfini çıkarabileceğiniz, şehrin ruhunu yansıtan bir buluşma noktasıdır.","Bar Mokum is an intimate and energetic venue keeping the pulse of Amsterdam nightlife. A meeting point reflecting the city's soul where you can taste local Dutch beers, chat with friends, and enjoy the music.",medium,4.8,852,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/bar_mokum.jpg
Amsterdam,OTA,Bar TwentySeven,Bar TwentySeven,Bar,Dam 27,"Bar TwentySeven, Amsterdam gece hayatının nabzını tutan, samimi ve enerjik bir mekandır. Yerel Hollanda biralarını tadabileceğiniz, dostlarınızla sohbet edip müziğin keyfini çıkarabileceğiniz, şehrin ruhunu yansıtan bir buluşma noktasıdır.","Bar TwentySeven is an intimate and energetic venue keeping the pulse of Amsterdam nightlife. A meeting point reflecting the city's soul where you can taste local Dutch beers, chat with friends, and enjoy the music.",expensive,4.7,495,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/bar_twentyseven.jpg
Amsterdam,OTA,Bariq - Greek Food & Wines,Bariq - Greek Food & Wines,Yeme-İçme,Overtoom 411,"Bariq - Greek Food & Wines, Amsterdam gece hayatının nabzını tutan, samimi ve enerjik bir mekandır. Yerel Hollanda biralarını tadabileceğiniz, dostlarınızla sohbet edip müziğin keyfini çıkarabileceğiniz, şehrin ruhunu yansıtan bir buluşma noktasıdır.","Bariq - Greek Food & Wines is an intimate and energetic venue keeping the pulse of Amsterdam nightlife. A meeting point reflecting the city's soul where you can taste local Dutch beers, chat with friends, and enjoy the music.",medium,4.9,574,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/bariq_greek_food_and_wines.jpg
Amsterdam,OTA,Baux Pastry,Baux Pastry,Kafe,Meteorenweg 280,"Baux Pastry, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Baux Pastry is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,5,51,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/baux_pastry.jpg
Amsterdam,OTA,Beer Tasting Room In The Wildeman,Beer Tasting Room In The Wildeman,Kafe,Kolksteeg 3,"Eski bir damıtım evinde kurulu, müziksiz ve sakin bir bira tapınağı. 250'den fazla bira çeşidiyle gerçek bira tutkunlarının mabedi.",Quirky bar in a former distillery stocking over 250 bottle & tap beers from throughout Europe.,medium,4.7,2344,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/beer_tasting_room_in_the_wildeman.jpg
Amsterdam,OTA,Begijnhof,Begijnhof,Tarihi,Centrum,"Şehrin gürültülü merkezinde saklı, 14. yüzyıldan kalma huzurlu bir avlu. Amsterdam'ın en eski evlerinden birine ev sahipliği yapan bu dini sığınak, sessizliğiyle büyüler.","A serene, medieval courtyard hidden behind a heavy wooden door. This historic sanctuary for the Beguines contains some of the oldest houses and a beautiful hidden church.",free,4.5,18000,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/begijnhof.jpg
Amsterdam,OTA,"Blin Queen. Specialty pancakes, coffee & wine","Blin Queen. Specialty pancakes, coffee & wine",Kafe,Amstel 102,"Blin Queen. Specialty pancakes, coffee & wine, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Blin Queen. Specialty pancakes, coffee & wine is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,4.8,2098,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/blin_queen_specialty_pancakes_coffee_and_wine.jpg
Amsterdam,OTA,Bloemenmarkt,Bloemenmarkt,Deneyim,Centrum,"Bloemenmarkt, Amsterdam'nin Centrum bölgesinde bulunan dikkat çekici bir nokta. Eşsiz özellikleri ve sunduğu deneyimle ziyaretçilerine unutulmaz anlar yaşatıyor. Bölgenin en çok ziyaret edilen yerlerinden biri olarak her gezginin listesinde yer almalı.","Bloemenmarkt is a noteworthy destination in Amsterdam's Centrum district. With its unique features and experiences, it offers unforgettable moments to visitors. As one of the most visited places in the area, it deserves a spot on every traveler's list.",free,4.2,25000,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/bloemenmarkt.jpg
Amsterdam,OTA,Blue Amsterdam,Blue Amsterdam,Yeme-İçme,Centrum,Kalverpassage alışveriş merkezinin tepesinde yer alan 360 derece Amsterdam manzaralı modern kafe. Şehri kuş bakışı izlemek için en iyi gizli noktalardan biridir.,A modern cafe with a 360-degree view of Amsterdam located atop the Kalverpassage shopping center. One of the best hidden spots for a bird's-eye view of the city.,medium,4.4,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/blue_amsterdam.jpg
Amsterdam,OTA,Brouwerij 't IJ,Brouwerij 't IJ,Yeme-İçme,Oost,Dev bir yel değirmeninin (De Gooyer) hemen altındaki tarihi bira fabrikası. Şehirde 'değirmen birası' olarak bilinen yerel ve taze biraları tatmak için en iyi adres.,An organic microbrewery located in a former bathhouse next to a giant wooden windmill. It offers a great range of fresh house-brewed beers and simple snacks.,medium,4.6,7500,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/brouwerij_t_ij.jpg
Amsterdam,OTA,Brouwerij de Prael,Brouwerij de Prael,Yeme-İçme,Red Light District,"Kırmızı Fener Mahallesi'nde yer alan, sosyal sorumluluk projesi olarak kurulan ve harika bira çeşitleri sunan butik bir bira fabrikası ve barı.","A boutique brewery and bar located in the Red Light District, established as a social enterprise and offering an excellent variety of beers.",low,4.6,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/brouwerij_de_prael.jpg
Amsterdam,OTA,CIMA Rooftop Bar,CIMA Rooftop Bar,Yeme-İçme,Hekelveld 10,"CIMA Rooftop Bar, Amsterdam gece hayatının nabzını tutan, samimi ve enerjik bir mekandır. Yerel Hollanda biralarını tadabileceğiniz, dostlarınızla sohbet edip müziğin keyfini çıkarabileceğiniz, şehrin ruhunu yansıtan bir buluşma noktasıdır.","CIMA Rooftop Bar is an intimate and energetic venue keeping the pulse of Amsterdam nightlife. A meeting point reflecting the city's soul where you can taste local Dutch beers, chat with friends, and enjoy the music.",medium,4.8,157,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cima_rooftop_bar.png
Amsterdam,OTA,Cafe Chris,Café Chris,Bar,Jordaan,"Cafe Chris, Jordaan gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.","Cafe Chris is one of the most exciting stops in Amsterdam's nightlife. This venue in Jordaan adds color to the night with its special cocktails, live music and energetic atmosphere.",medium,4.4,3200,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_chris.jpg
Amsterdam,OTA,Cafe Pollux,Cafe Pollux,Bar,Prins Hendrikkade 121,"Prins Hendrikkade üzerinde, gerçek Amsterdam ruhunu yaşatan tarihi bir ""kahverengi kafe"". Jukebox'ı ve Salı akşamları düzenlenen eğlenceli bingo geceleriyle ünlü.","Dark, funky haunt for coffee, breakfast & lunch, plus a lively pub scene in the evening.",medium,4.7,1047,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_pollux.png
Amsterdam,OTA,Cafe Sonneveld,Cafe Sonneveld,Kafe,De Pijp,"Cafe Sonneveld, De Pijp gece hayatının nabzını tutan, enerjisi yüksek bir mekan. Özel kokteylleri, müziği ve canlı atmosferiyle arkadaşlarınızla keyifli vakit geçirebileceğiniz popüler bir adres.","Cafe Sonneveld is one of the most exciting stops in Amsterdam's nightlife. This venue in De Pijp adds color to the night with its special cocktails, live music and energetic atmosphere.",low,4.3,1200,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_sonneveld.jpg
Amsterdam,OTA,Café De Dokter,Café De Dokter,Kafe,Rozenboomsteeg 4,"Café De Dokter, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Café De Dokter is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,4.8,528,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_de_dokter.jpg
Amsterdam,OTA,Café Enté,Café Enté,Kafe,Lindengracht 31h,"Café Enté, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Café Enté is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,4.8,174,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_ente.jpg
Amsterdam,OTA,Café Kompleet | Buurtcafé met Nederlandse keuken,Café Kompleet | Buurtcafé met Nederlandse keuken,Kafe,Eerste Constantijn Huygensstraat 45H,"Café Kompleet | Buurtcafé met Nederlandse keuken, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Café Kompleet | Buurtcafé met Nederlandse keuken is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,4.8,257,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_kompleet_buurtcafe_met_nederlandse_keuken.jpg
Amsterdam,OTA,Café de Klos,Café de Klos,Kafe,Centrum,"Café de Klos, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Café de Klos is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,4.6,4500,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_de_klos.jpg
Amsterdam,OTA,Café de Vergulde Gaper,Café de Vergulde Gaper,Kafe,Jordaan,Jordaan mahallesindeki en eski 'kahverengi kafelerden' biri. Kanal manzaralı terasında oturup Hollanda birası ve bitterballen eşliğinde yerel hayatı izlemek gibisi yok.,"A classic Jordaan 'brown cafe' located on a beautiful corner. Ideal for a canal-side beer, traditional snacks like bitterballen, and watching the boats go by.",medium,4.5,2800,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cafe_de_vergulde_gaper.jpg
Amsterdam,OTA,Cape Town Social Club,Cape Town Social Club,Yeme-İçme,Raamstraat 27,"Cape Town Social Club, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Cape Town Social Club is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,4.8,328,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/cape_town_social_club.jpg
Amsterdam,OTA,Casa Lisa,Casa Lisa,Yeme-İçme,Dorpsplein 72,"Casa Lisa, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Casa Lisa is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",low,4.8,179,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/casa_lisa.jpg
Amsterdam,OTA,CatuaBar Amsterdam,CatuaBar Amsterdam,Yeme-İçme,Andreas Bonnstraat 40H,"CatuaBar Amsterdam, Amsterdam gece hayatının nabzını tutan, samimi ve enerjik bir mekandır. Yerel Hollanda biralarını tadabileceğiniz, dostlarınızla sohbet edip müziğin keyfini çıkarabileceğiniz, şehrin ruhunu yansıtan bir buluşma noktasıdır.","CatuaBar Amsterdam is an intimate and energetic venue keeping the pulse of Amsterdam nightlife. A meeting point reflecting the city's soul where you can taste local Dutch beers, chat with friends, and enjoy the music.",medium,5,393,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/catuabar_amsterdam.jpg
Amsterdam,OTA,Chef Adrienne | Private Dining Amsterdam,Chef Adrienne | Private Dining Amsterdam,Yeme-İçme,Valeriusstraat 250 H,"Tarihi bir konakta, Fransız ve İtalyan teknikleriyle hazırlanan özel akşam yemekleri. Şef Adrienne'in kişisel dokunuşlarıyla ev sıcaklığında lüks.","Modern French & Italian dishes with global flourishes, served in an elegant private dining room.",medium,4.9,144,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/chef_adrienne_private_dining_amsterdam.jpg
Amsterdam,OTA,Chez Rosie,Chez Rosie,Kafe,Kinkerstraat 51,"Chez Rosie, Amsterdam'ın kendine has karakterini ve özgür ruhunu yansıtan, keşfedilmeyi bekleyen bir yerdir. Meraklı gezginler için sunduğu detaylar ve atmosferiyle, seyahat anılarınızda özel bir yer edinecektir.","Chez Rosie is a place waiting to be discovered, reflecting Amsterdam's unique character and free spirit. With details and atmosphere offered for curious travelers, it will earn a special place in your travel memories.",medium,4.9,285,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/chez_rosie.jpg
Amsterdam,OTA,Ciel Bleu,Ciel Bleu,Yeme-İçme,Ferdinand Bolstraat 333,"Hotel Okura'nın 23. katında, iki Michelin yıldızlı gastronomi tapınağı. Panoramik şehir manzarası eşliğinde unutulmaz bir lezzet yolculuğu.",Posh venue on the 23rd floor of the Hotel Okura offering creative European fare & views of the city.,expensive,4.7,444,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/ciel_bleu.jpg
Amsterdam,OTA,Coffee Bru,Coffee Bru,Kafe,Van Woustraat 113,"Coffee Bru, Amsterdam kanallarının huzurlu atmosferini kahve kokusuyla birleştiren şirin bir mekandır. Taze kavrulmuş kahveleri ve yanında sunulan ev yapımı tatlılarıyla, şehir turuna keyifli bir mola vermek için idealdir.","Coffee Bru is a cute venue combining the peaceful atmosphere of Amsterdam canals with the scent of coffee. With freshly roasted coffees and homemade sweets served alongside, it is ideal for taking a pleasant break from the city tour.",medium,4.8,255,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/coffee_bru.jpg
Amsterdam,OTA,Colette's Private Dining,Colette's Private Dining,Yeme-İçme,Groen van Prinstererstraat 27,"Colette's Private Dining, damak tadınıza hitap eden lezzetleri şık bir atmosferde sunar. Taze ve yerel malzemelerle hazırlanan menüsü, hem Hollanda mutfağından hem de dünya mutfaklarından seçkin örneklerle unutulmaz bir akşam yemeği vaat eder.",Colette's Private Dining offers flavors appealing to your palate in a stylish atmosphere. Its menu prepared with fresh and local ingredients promises an unforgettable dinner with distinguished examples from both Dutch and world cuisines.,medium,4.9,93,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/colettes_private_dining.jpg
Amsterdam,OTA,Coster Diamonds,Coster Diamonds,Deneyim,Museumplein,Dünyanın en eski elmas parlatma fabrikalarından biri. Elmasların nasıl kesildiğini görebileceğiniz ücretsiz turlar sunar.,One of the world's oldest diamond polishing factories. Offers free tours where you can see how diamonds are cut.,free,4.5,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/coster_diamonds.jpg
Amsterdam,OTA,Craft Wine,Craft Wine,Deneyim,Frans Halsstraat 35,Yerel kültürü keşfetmek ve otantik anılar biriktirmek için kaçırılmaması gereken bir deneyim.,Wine bar with curated craft wines and expert guidance.,medium,5,106,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/craft_wine.jpg
Amsterdam,OTA,Dak Showroom by Dak Coffee Roasters,Dak Showroom by Dak Coffee Roasters,Kafe,Bellamyplein 16H,"Dak Showroom by Dak Coffee Roasters, Amsterdam kanallarının huzurlu atmosferini kahve kokusuyla birleştiren şirin bir mekandır. Taze kavrulmuş kahveleri ve yanında sunulan ev yapımı tatlılarıyla, şehir turuna keyifli bir mola vermek için idealdir.","Dak Showroom by Dak Coffee Roasters is a cute venue combining the peaceful atmosphere of Amsterdam canals with the scent of coffee. With freshly roasted coffees and homemade sweets served alongside, it is ideal for taking a pleasant break from the city tour.",medium,4.8,203,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/dak_showroom_by_dak_coffee_roasters.jpg
Amsterdam,OTA,Dam Meydanı,Dam Square,İkonik,Centrum,Amsterdam'ın kalbi ve en önemli meydanı. Kraliyet Sarayı ve Ulusal Anıt burada bulunur.,"The historical heart of Amsterdam, home to the Royal Palace and the National Monument.",free,4.6,,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/dam_meydani_dam_square.jpg
Amsterdam,OTA,De 9 Straatjes,9 Streets,Kafe,Centrum,"Ana kanalları birbirine bağlayan, butik dükkanlar, antika mağazaları ve şık kafelerle dolu dokuz dar sokak. Alışverişten ziyade bir atmosfer keşfi.","Nine picturesque alleys connecting the main canals, packed with unique boutiques, vintage stores, and cozy cafes. A perfect spot for a scenic wander and authentic local shopping.",free,4.5,12000,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/de_9_straatjes.jpg
Amsterdam,OTA,De Kas,De Kas,Yeme-İçme,Kamerlingh Onneslaan 3,"Bölgede yetişen ürünlerle hazırlanan organik Akdeniz yemeklerinin servis edildiği, bahçe içinde yer alan şık sera.","A stylish greenhouse located in the garden, where organic Mediterranean dishes prepared with products grown in the region are served.",high,4.7,3404,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/de_kas.jpg
Amsterdam,OTA,De Laatste Kruimel,De Laatste Kruimel,Yeme-İçme,Centrum,Adı gibi 'son kırıntısına kadar' yiyeceğiniz nefis pastalar ve sandviçler. Kanala bakan minik balkonu ve rustik dekorasyonuyla kentin en şirin kafesi.,"A tiny, rustic bakery famous for its overflowing display of handmade cakes, quiches, and scones. Try to snag the small balcony overlooking the canal.",medium,4.5,5800,https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/amsterdam/de_laatste_kruimel.jpg
