name,name_en,category,category_en,lat,lng,area,description,description_en,localTip,localTip_en,imageUrl,address
Terasa U Zlaté Studně,Terasa U Zlaté Studně,Fine Dining,Fine Dining,50.0890,14.3990,Malá Strana,"5 yıldızlı butik otelin muhteşem manzaralı terasında konumlanan Michelin yıldızlı gurme restoran.","Michelin-starred gourmet restaurant on the terrace of a 5-star boutique hotel with magnificent views.","Öğle yemeği için gidin, akşama göre daha uygun ve aynı manzara.","Go for lunch, it's more affordable than dinner with the same views.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/terasa_u_zlate_studne.jpg,U Zlaté studně
George Prime Steak,George Prime Steak,Steakhouse,Steakhouse,50.0880,14.4170,Old Town,"Amerikan stili premium etler ve deniz mahsulleri sunan loş atmosferli şık bir steakhouse restoranı.","Upscale steakhouse with dim ambiance serving American-style premium cuts and seafood dishes.","Dry-aged etleri özellikle iyi, şarap eşleştirmesini sorun.","Their dry-aged steaks are exceptional, ask for wine pairing.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/george_prime_steak.jpg,Platnéřská 19
Mexická,Mexická,Meksika,Mexican,50.0780,14.4520,Žižkov,"2024 yılında açılan otantik Meksika mutfağı restoranı. Geleneksel tarifler ve taze malzemeler kullanılıyor.","Authentic Mexican restaurant opened in 2024 with traditional recipes and fresh ingredients.","Tacos al pastor ve ev yapımı guacamole muhteşem.","The tacos al pastor and fresh guacamole are outstanding.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/mexicka.jpg,Žižkov
Cernomorka,Cernomorka,Ukrayna Deniz Ürünleri,Ukrainian Seafood,50.0805,14.4350,Vinohrady,"Karadeniz mutfağından ilham alan Ukrayna deniz ürünleri restoranı. Taze balık ve karides çeşitleri.","Ukrainian seafood restaurant inspired by Black Sea cuisine serving fresh fish and shrimp varieties.","Karadeniz usulü karides ve balık çorbası harika.","The Black Sea style shrimp and fish soup are wonderful.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/cernomorka.jpg,Vinohrady
Finestrina,Finestrina,İtalyan Fine Dining,Italian Fine Dining,50.0825,14.4230,Nové Město,"2025 yılında açılan üst düzey İtalyan restoranı. El yapımı makarnalar ve İtalyan şarap seçkisi sunuyor.","Upscale Italian restaurant opened in 2025 serving handmade pasta and curated Italian wine selection.","Taze makarna yapımını izleyebilirsiniz, açık mutfak konsepti var.","You can watch fresh pasta being made in their open kitchen.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/finestrina.jpg,Nové Město
Centraal,Centraal,Fast Casual,Fast Casual,50.0925,14.4480,Karlín,"Çıtır tavuk sandviçleriyle tanınan modern fast casual mekan. Hızlı servis ve kaliteli malzemeler.","Modern fast casual spot known for crispy fried chicken sandwiches with quick service and quality ingredients.","Nashville hot chicken sandviç en popüler seçenek.","The Nashville hot chicken sandwich is their most popular item.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/centraal.jpg,Karlín
MIRU,MIRU,Japon-Peru,Japanese-Peruvian,50.0850,14.4120,Old Town,"Four Seasons otelin çatı katında mevsimsel olarak hizmet veren Japon-Peru füzyon mutfağı restoranı.","Seasonal rooftop restaurant at Four Seasons Hotel serving Japanese-Peruvian fusion cuisine.","Yaz aylarında açık, rezervasyon olmadan yer bulmak zor.","Open in summer months, reservations are essential.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/miru.jpg,Four Seasons Rooftop
U Bansethů,U Bansethů,Çek Pub,Czech Pub,50.0629,14.4399,Nusle,"1921'den beri aile işletmesi olan mikro biracılık. Domuz incik ve ördek confit gibi geleneksel lezzetler.","Family-run microbrewery since 1921 serving traditional fare like pork knee and duck confit.","Filtrelenmemiş ev birası ve domuz diz mutlaka denenmeli.","Their unfiltered house beer and pork knee are must-tries.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/u_bansethu.jpg,Táborská 49
Pivovar Bašta,Pivovar Bašta,Bira Fabrikası,Brewery,50.0640,14.4450,Nusle,"Nusle'daki yerel deneyim sunan brewpub. Ev yapımı biralar ve geleneksel Çek mutfağı bir arada.","Local brewpub experience in Nusle serving house-brewed beers alongside traditional Czech cuisine.","Turistlerden uzak, gerçek yerel deneyim için ideal.","Away from tourists, perfect for an authentic local experience.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/pivovar_basta.jpg,Nusle
Automat Matuška,Automat Matuška,Bira Barı,Beer Bar,50.1010,14.3920,Dejvice,"Matuška biracılığının özel menüsünü sunan bar. Çek craft bira sahnesinin önde gelen markalarından.","Bar serving special selection from Matuška brewery, one of the leading brands in Czech craft beer scene.","Raptor IPA ve California serisi özellikle popüler.","The Raptor IPA and California series are especially popular.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/automat_matuska.jpg,Dejvice
Sibeeria Tap Room,Sibeeria Tap Room,Craft Bira,Craft Beer,50.0905,14.4340,Nové Město,"14 musluklu endüstriyel-şık atmosferli taproom. Hazy IPA'lar ve yaratıcı işbirlikleriyle tanınıyor.","Industrial-chic taproom with 14 taps known for hazy IPAs and creative collaborations.","Hazy IPA sevenler için cennet, kutu bira da satın alabilirsiniz.","Paradise for hazy IPA lovers, you can also buy cans to go.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/sibeeria_tap_room.jpg,Soukenická 4
Nota Bene,Nota Bene,Bira Barı-Restoran,Beer Bar-Restaurant,50.0760,14.4340,Vinohrady,"13 musluktan küçük yerel bira fabrikalarının biralarını sunan restoran ve bira noktası kombinasyonu.","Restaurant and beer point combination serving beers from small local breweries on 13 rotating taps.","Yemekleri de iyi, bira eşleştirmesi için personele danışın.","Food is also good, ask staff for beer pairing suggestions.","",Mikovcova 4
Pult,Pult,Bira Barı,Beer Bar,50.0890,14.4320,Nové Město,"Dönen musluklar ve Polonya biralarına özel ilgiyle modern craft bira barı deneyimi sunuyor.","Modern craft beer bar experience with rotating taps and special emphasis on Polish breweries.","Polonya craft bira sahnesini keşfetmek için harika bir yer.","Great place to explore the Polish craft beer scene.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/pult.jpg,V Celnici 4
Sedmej Schod,Sedmej Schod,Bira Barı,Beer Bar,50.0750,14.4400,Vinohrady,"Küçük ama samimi bira barı. Antoš ve Počernický biralarının yanı sıra yerel ve yabancı seçenekler.","Small but cozy beer bar with Antoš and Počernický beers plus local and international options.","Küçük ve samimi, yerel halkla tanışmak için ideal.","Small and intimate, perfect for meeting locals.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/sedmej_schod.jpg,Vinohrady
Kulový Blesk,Kulový Blesk,Bira Barı,Beer Bar,50.0780,14.4520,Žižkov,"27 musluktan Únětice ve Kocour gibi popüler Çek mikro bira fabrikalarının biralarını sunan pub.","Pub serving beers from popular Czech microbreweries like Únětice and Kocour on 27 taps.","Rezervasyon yapın, özellikle hafta sonları çok kalabalık.","Make a reservation, especially crowded on weekends.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/kulovy_blesk.jpg,Žižkov
The Tavern,The Tavern,Bira Barı,Beer Bar,50.0790,14.4390,Vinohrady,"Riegrovy sady parkına yakın rahat atmosferli bar. Matuška ve Permon gibi yerel favoriler sunuluyor.","Relaxed bar near Riegrovy sady park featuring local favorites like Matuška and Permon beers.","Yaz akşamları park manzaralı bahçe harika.","The garden with park views is wonderful on summer evenings.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/the_tavern.jpg,Vinohrady
Pivovar Národní,Pivovar Národní,Bira Fabrikası,Brewery,50.0810,14.4150,Nové Město,"Yaratıcı biralar üreten brewery. Czech Lion imza birası ve Wild Tiger IPA gibi özel seçenekler.","Brewery producing creative beers including signature Czech Lion and specialty Wild Tiger IPA.","Bira tadım setini deneyin, tüm çeşitleri tatmak için ideal.","Try the beer tasting set to sample all varieties.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/pivovar_narodni.jpg,Nové Město
Etapa,Etapa,Brunch,Brunch,50.0945,14.4578,Karlín,"Karlín'de yaratıcı menüsü ve kaliteli kahvesiyle sevilen brunch ve öğle yemeği mekanı.","Beloved brunch and lunch spot in Karlín praised for its creative menu and quality coffee.","Hafta sonu erken gelin, aksi halde uzun kuyruk olabilir.","Arrive early on weekends to avoid long queues.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/etapa.jpg,Urxova 6
Le Caveau Kavárna,Le Caveau Kavárna,Fransız Brunch,French Brunch,50.0786,14.4500,Vinohrady,"Croque Madame ve Eggs Florentine gibi Fransız tarzı brunch lezzetleri sunan şirin kafe.","Charming café serving French-style brunch dishes like Croque Madame and Eggs Florentine.","Yazın dış mekanı çok güzel, Jiřího z Poděbrad meydanına bakıyor.","The outdoor seating is lovely in summer, overlooking the square.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/le_caveau_kavarna.jpg,Náměstí Jiřího z Poděbrad 9
The Flat Café,The Flat Café,İngiliz Brunch,British Brunch,50.0680,14.4600,Vršovice,"İngiliz oturma odası havasında hafta sonu brunch'ları. Klasik İngiliz kahvaltısı ve pancake seçenekleri.","Weekend brunches in British living room atmosphere with classic English breakfast and pancake options.","Full English breakfast enfes, akşam yemeğinden önce atıştırmalık için de iyi.","The full English breakfast is superb, also great for a pre-dinner snack.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/the_flat_cafe.jpg,Vršovice
Kavárna Tvoje Máma,Kavárna Tvoje Máma,Brunch,Brunch,50.0770,14.4450,Vinohrady,"Yerlilerin favorisi olan kahvaltı ve brunch mekanı. Samimi atmosfer ve ev yapımı lezzetler.","Local favorite breakfast and brunch spot with cozy atmosphere and homemade delights.","Ev yapımı kek ve tatlıları kaçırmayın.","Don't miss their homemade cakes and pastries.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/kavarna_tvoje_mama.jpg,Vinohrady
Alma Café,Alma Café,Kahvaltı,Breakfast,50.0860,14.4180,Old Town,"Özelleştirilebilir kahvaltı deneyimi sunan kafe. Sosis, yumuşak haşlanmış yumurta ve ev yapımı sürmelikler.","Café offering customizable breakfast experience with sausages, soft-boiled eggs and homemade spreads.","KRO sandviçlerini mutlaka deneyin, kardeş bistrodan geliyor.","Try the KRO sandwiches, they come from their sister bistro.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/alma_cafe.jpg,Old Town
Bistro Karel,Bistro Karel,Brunch,Brunch,50.1170,14.4130,Troja,"Troja Kalesi bahçelerinde konumlanan şık brunch mekanı. Yoğurt içinde poşe yumurta gibi yaratıcı lezzetler.","Stylish brunch spot in Troja Castle gardens with creative dishes like poached eggs in yogurt.","Hava güzelse bahçede oturun, şehrin gürültüsünden uzak huzurlu bir yer.","Sit in the garden if weather permits, a peaceful escape from the city.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/bistro_karel.jpg,Troja Castle
Veltlin,Veltlin,Şarap Barı,Wine Bar,50.0939,14.4569,Karlín,"Karlín'de kült statüsüne ulaşmış doğal şarap barı. Çek naturals ve yerel gurme ürünleri sunuyor.","Cult-status natural wine bar in Karlín serving Czech naturals and gourmet products from local suppliers.","Menü yok, personele zevkinizi söyleyin size şarap önersinler.","No menu, tell staff your preferences and they'll recommend wines.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/veltlin.jpg,Křižíkova 115
Na Břehu Rhony,Na Břehu Rhony,Şarap Barı,Wine Bar,50.0680,14.4200,Výtoň,"Vltava Nehri manzaralı şarap barı. Özellikle Rhone vadisi Fransız şarapları ve self-servis konsept.","Wine bar with Vltava River views specializing in French Rhone Valley wines with self-service concept.","Gün batımında nehir kenarı muhteşem, bir şişe şarap alın.","Sunset by the river is magnificent, grab a bottle of wine.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/na_brehu_rhony.jpg,Na Hrobci 1
Noelka Wine Bar,Noelka Wine Bar,Şarap Barı,Wine Bar,50.0780,14.4550,Žižkov,"Küçük Moravya şarap üreticilerine odaklanan samimi şarap barı. Uygun fiyatlar ve yerel atmosfer.","Cozy wine bar focusing on small Moravian wine producers with reasonable prices and local atmosphere.","Yazın dışarıda oturup meydanı izlemek harika.","Sitting outside watching the square is wonderful in summer.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/noelka_wine_bar.jpg,Žižkov
Koštovna u Počtů,Koštovna u Počtů,Şarap Barı,Wine Bar,50.1000,14.4200,Letná,"Prag'ın ilk self-servis tadım bodrumu. Geniş Moravya şarap seçkisi ve atıştırmalık çeşitleri.","Prague's first self-service tasting cellar with wide selection of Moravian wines and snacks.","Sabit fiyatla sınırsız tadım seçeneği var, bunu deneyin.","They have unlimited tasting for a fixed price, try that option.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/kostovna_u_poctu.jpg,Letná
Šenkovna Fine Wine Pub,Šenkovna Fine Wine Pub,Şarap Barı,Wine Bar,50.0780,14.4420,Vinohrady,"Rahat ve samimi atmosferde Moravya ve uluslararası şaraplar sunan pub tarzı şarap barı.","Pub-style wine bar serving Moravian and international wines in a relaxed and informal atmosphere.","Bira içenler için de Pilsner var, karma gruplar için ideal.","They also have Pilsner for beer lovers, ideal for mixed groups.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/senkovna_fine_wine_pub.jpg,Vinohrady
Přátelé Wine Friends,Přátelé Wine Friends,Şarap Barı,Wine Bar,50.0765,14.4480,Vinohrady,"Bohemya, Moravya ve Avrupa şarapları sunan samimi mekan. Kokteyl ve şarküteri tabakları da var.","Friendly venue serving wines from Bohemia, Moravia and Europe with cocktails and charcuterie boards.","Şarküteri tabağı şarapla mükemmel uyum sağlıyor.","The charcuterie board pairs perfectly with their wines.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/pratele_wine_friends.jpg,Vinohrady
Vinárna U Sudu,Vinárna U Sudu,Şarap Barı,Wine Bar,50.0795,14.4255,Old Town,"Efsanevi yer altı şarap barı ve gece hayatı mekanı. Çoklu barlar, piyano salonu ve langırt odası.","Legendary underground wine bar and nightlife venue with multiple bars, piano lounge and foosball room.","Alt katlara inin, her oda farklı bir atmosfer sunuyor.","Go down to lower floors, each room offers a different vibe.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/vinarna_u_sudu.jpg,Old Town
U Glaubiců,U Glaubiců,Geleneksel Çek,Traditional Czech,50.0890,14.4000,Malá Strana,"Prag Kalesi yakınında dana rosto ve gulaş gibi doyurucu Çek klasiklerini sunan geleneksel restoran.","Traditional restaurant near Prague Castle serving hearty Czech classics like roast sirloin and goulash.","Svíčková (dana rosto) mutlaka deneyin, otantik Çek lezzeti.","Don't miss the svíčková (roast sirloin), authentic Czech flavor.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/u_glaubicu.jpg,Malá Strana
Krcma,Krcma,Geleneksel Çek,Traditional Czech,50.0875,14.4190,Old Town,"Ortaçağ tarzı dekorasyonuyla 2 kg'lık tahta üzerinde sunulan et ziyafetleri sunan atmosferik mekan.","Atmospheric medieval-style spot serving 2kg meat feasts presented on wooden boards.","Aç gelin, porsiyonlar çok büyük. Grup için ideal.","Come hungry, portions are huge. Perfect for groups.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/krcma.jpg,Old Town
Malostranská Beseda,Malostranská Beseda,Geleneksel Çek,Traditional Czech,50.0880,14.4050,Malá Strana,"Restore edilmiş Rönesans binasında canlı müzik eşliğinde geleneksel Çek yemekleri sunan restoran.","Restaurant in a restored Renaissance building serving traditional Czech dishes with live music.","Canlı müzik programını kontrol edin, harika konserler oluyor.","Check their live music schedule, they host great concerts.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/malostranska_beseda.jpg,Malá Strana
Pork's,Pork's,Domuz Eti Restoranı,Pork Restaurant,50.0860,14.4020,Malá Strana,"Domuz etine adanmış minimalist mekan. Çıtır incik ve yumuşak kaburgalar büyük porsiyonlarda sunuluyor.","Minimalist eatery dedicated to pork dishes serving crispy knees and tender ribs in generous portions.","Domuz incik 24 saat marine ediliyor, çıtır kabuğu efsane.","The pork knee is marinated for 24 hours, crispy skin is legendary.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/porks.jpg,Malá Strana
Výčep,Výčep,Pub Restoran,Pub Restaurant,50.0755,14.4380,Vinohrady,"Ev yapımı ürünler ve av eti gibi benzersiz yemekler sunan özel pub tarzı restoran.","Special pub-style restaurant offering unique dishes made from in-house products and game meats.","Geyik ve yaban domuzu gibi av etlerini deneyin.","Try game meats like deer and wild boar.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/vycep.jpg,Vinohrady
Tiskárna Národní,Tiskárna Národní,Modern Çek,Modern Czech,50.0810,14.4170,Nové Město,"Beef Goulash ve Svíčková gibi geleneksel Çek yemeklerini modern yorumlarla sunan çağdaş mekan.","Contemporary spot serving traditional Czech dishes like Beef Goulash and Svíčková with modern twists.","Öğle menüsü çok uygun, iş yemeği için ideal.","Lunch menu is affordable, ideal for business lunches.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/tiskarna_narodni.jpg,Národní
Pivní Přístav,Pivní Přístav,Bira Barı,Beer Bar,50.0945,14.4510,Karlín,"Yerel halkın sevdiği aile işletmesi bira barı. Geniş bira seçkisi ve Çek bira tapasları sunuyor.","Family-owned beer bar cherished by locals with impressive beer selection and Czech beer tapas.","Nakládaný sýr (marine peynir) biraya mükemmel eşlik ediyor.","Nakládaný sýr (marinated cheese) pairs perfectly with beer.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/pivni_pristav.jpg,Karlín
El Camino Tapas,El Camino Tapas,İspanyol,Spanish,50.0765,14.4420,Vinohrady,"Sofistike İspanyol tapas deneyimi sunan restoran. Şarap, sherry ve geleneksel İspanyol lezzetleri.","Sophisticated Spanish tapas experience with wines, sherry and traditional Spanish flavors.","Jamon Iberico ve manchego peyniri muhakkak deneyin.","Don't miss the Jamon Iberico and manchego cheese.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/el_camino_tapas.jpg,Vinohrady
Porke Tapas,Porke Tapas,İspanyol,Spanish,50.0820,14.4250,Nové Město,"Popüler tapas mekanı. Klasik İspanyol küçük porsiyonları ve İber yarımadası şarapları sunuyor.","Popular tapas spot serving classic Spanish small plates and wines from the Iberian Peninsula.","Happy hour saatlerinde şarap ve tapas indirimleri var.","Happy hour has discounts on wine and tapas.",https://storage.googleapis.com/myway-3fe75.firebasestorage.app/cities/prag/porke_tapas.jpg,Nové Město
