Language,City,Route Name,Stop Count,Places
Turkish,Barcelona,Gotik & Born Labirenti,6,"Gothic Quarter, Plaça Reial, Las Ramblas, El Born, Museu Picasso, Santa Caterina Market"
English,Barcelona,Gothic Quarter & Born Maze,6,"Gothic Quarter, Plaça Reial, Las Ramblas, El Born, Museu Picasso, Santa Caterina Market"
Turkish,Barcelona,Gaudí'nin Hayal Rotası,5,"Sagrada Familia, Casa Batlló, Casa Milà (La Pedrera), Park Güell, Casa Vicens"
English,Barcelona,Gaudí's Imaginative Path,5,"Sagrada Familia, Casa Batlló, Casa Milà (La Pedrera), Park Güell, Casa Vicens"
Turkish,Barcelona,Deniz & Tuz Kokusu,4,"Barceloneta Beach, Barceloneta Mahallesi, Parc de la Ciutadella, Poblenou"
English,Barcelona,Sea & Salt Breezes,4,"Barceloneta Beach, Barceloneta Mahallesi, Parc de la Ciutadella, Poblenou"
Turkish,Barcelona,El Born Şıklığı & Kültür,4,"Museu Picasso, El Born, Santa Caterina Market, Palau de la Música Catalana"
English,Barcelona,El Born Chic & Culture,4,"Museu Picasso, El Born, Santa Caterina Market, Palau de la Música Catalana"
Turkish,Barcelona,Gracia Köy Havası,3,"Gràcia, Park Güell, Casa Vicens"
English,Barcelona,Gracia Village Vibes,3,"Gràcia, Park Güell, Casa Vicens"
Turkish,Barcelona,Tapas & Pazar Turu,5,"La Boqueria, Santa Caterina Market, El Born, El Raval, Gràcia"
English,Barcelona,Tapas & Market Trail,5,"La Boqueria, Santa Caterina Market, El Born, El Raval, Gràcia"
Turkish,Barcelona,Montjuïc Tepeleri,4,"Montjuïc, MNAC, Fundació Joan Miró, Magic Fountain of Montjuïc"
English,Barcelona,Montjuïc Heights,4,"Montjuïc, MNAC, Fundació Joan Miró, Magic Fountain of Montjuïc"
Turkish,Barcelona,Raval Sokak Ruhu,3,"MACBA, El Raval, Las Ramblas"
English,Barcelona,Raval Street Spirit,3,"MACBA, El Raval, Las Ramblas"
Turkish,Barcelona,Romantik Masal,5,"Bunkers del Carmel, Tibidabo, Parc del Laberint d'Horta, Parc de la Ciutadella, Magic Fountain of Montjuïc"
English,Barcelona,Romantic Fairytale,5,"Bunkers del Carmel, Tibidabo, Parc del Laberint d'Horta, Parc de la Ciutadella, Magic Fountain of Montjuïc"
Turkish,Barcelona,Eixample Görkemi,3,"Casa Batlló, Casa Milà (La Pedrera), Sant Pau Recinte Modernista"
English,Barcelona,Eixample Grandeur,3,"Casa Batlló, Casa Milà (La Pedrera), Sant Pau Recinte Modernista"
Turkish,Paris,Paris İkonları,6,"Eyfel Kulesi, Trocadéro, Arc de Triomphe, Champs-Élysées, Place de la Concorde, Musée d'Orsay"
English,Paris,Parisian Landmarks,6,"Eyfel Kulesi, Trocadéro, Arc de Triomphe, Champs-Élysées, Place de la Concorde, Musée d'Orsay"
Turkish,Paris,Montmartre'ın Sanat Ruhu,6,"Montmartre, Sacré-Cœur Bazilikası, Place du Tertre, Moulin Rouge, Mur des Je t'aime, Musée de Montmartre"
English,Paris,Montmartre's Artistic Soul,6,"Montmartre, Sacré-Cœur Bazilikası, Place du Tertre, Moulin Rouge, Mur des Je t'aime, Musée de Montmartre"
Turkish,Paris,Le Marais Tüccar Tarihi,6,"Le Marais, Place des Vosges, Rue des Rosiers, Museé Carnavalet, Saint-Paul-Saint-Louis, L'As du Fallafel"
English,Paris,Le Marais Merchant History,6,"Le Marais, Place des Vosges, Rue des Rosiers, Museé Carnavalet, Saint-Paul-Saint-Louis, L'As du Fallafel"
Turkish,Paris,Sanat Maratonu,6,"Louvre Müzesi, Musée d'Orsay, Musée de l'Orangerie, Centre Pompidou, Musée Rodin, Palais Royal"
English,Paris,Art Immersion Marathon,6,"Louvre Müzesi, Musée d'Orsay, Musée de l'Orangerie, Centre Pompidou, Musée Rodin, Palais Royal"
Turkish,Paris,Gurme Paris Rotası,6,"Marché d'Aligre, Rue Cler, Saint-Germain-des-Prés, Café de Flore, Canal Saint-Martin, Belleville"
English,Paris,Gourmet Paris Trail,6,"Marché d'Aligre, Rue Cler, Saint-Germain-des-Prés, Café de Flore, Canal Saint-Martin, Belleville"
Turkish,Paris,Adalar & Nehir Sırları,6,"Notre-Dame Katedrali, Sainte-Chapelle, Pont Neuf, Pont Alexandre III, Shakespeare and Company, Île de la Cité"
English,Paris,Islands & River Secrets,6,"Notre-Dame Katedrali, Sainte-Chapelle, Pont Neuf, Pont Alexandre III, Shakespeare and Company, Île de la Cité"
Turkish,Paris,Latin Mahallesi Öğrenci Hayatı,6,"Sorbonne, Panthéon, Jardin du Luxembourg, Shakespeare and Company, Rue Mouffetard, Latin Quarter"
English,Paris,Latin Quarter Scholarly Life,6,"Sorbonne, Panthéon, Jardin du Luxembourg, Shakespeare and Company, Rue Mouffetard, Latin Quarter"
Turkish,Paris,Işıklar Şehri Gecesi,6,"Eyfel Kulesi, Pont Alexandre III, Moulin Rouge, Canal Saint-Martin, Notre-Dame Katedrali, Arc de Triomphe"
English,Paris,City of Lights Nocturne,6,"Eyfel Kulesi, Pont Alexandre III, Moulin Rouge, Canal Saint-Martin, Notre-Dame Katedrali, Arc de Triomphe"
Turkish,Paris,Versay Kraliyet Kaçamağı,6,"Palace of Versailles, Gardens of Versailles, Petit Trianon, Grand Trianon, Queen's Hamlet, Hall of Mirrors"
English,Paris,Versailles Royal Escape,6,"Palace of Versailles, Gardens of Versailles, Petit Trianon, Grand Trianon, Queen's Hamlet, Hall of Mirrors"
Turkish,Paris,Canal Saint-Martin ve Ötesi,6,"Canal Saint-Martin, Belleville, Buttes-Chaumont Parkı, Le Marais, Place de la République, Bassin de la Villette"
English,Paris,Canal Saint-Martin & Beyond,6,"Canal Saint-Martin, Belleville, Buttes-Chaumont Parkı, Le Marais, Place de la République, Bassin de la Villette"
Turkish,Rome,Antik İmparatorluk Yolu,6,"Kolezyum, Roma Forumu, Palatino Tepesi (Palatine Hill), Altare della Patria (Vittoriano), Largo di Torre Argentina, Baths of Caracalla"
English,Rome,Ancient Imperial Wonders,6,"Kolezyum, Roma Forumu, Palatino Tepesi (Palatine Hill), Altare della Patria (Vittoriano), Largo di Torre Argentina, Baths of Caracalla"
Turkish,Rome,Vatikan Başyapıtları,6,"Vatikan Müzeleri, St. Peter's Basilica (San Pietro Bazilikası), Castel Sant'Angelo, Borgo, Villa Farnesina, Janiculum (Gianicolo)"
English,Rome,Vatican Masterpieces,6,"Vatikan Müzeleri, St. Peter's Basilica (San Pietro Bazilikası), Castel Sant'Angelo, Borgo, Villa Farnesina, Janiculum (Gianicolo)"
Turkish,Rome,Trastevere Bohem Gecesi,6,"Trastevere, Basilica di Santa Maria in Trastevere, Piazza Trilussa, Da Enzo al 29, Supplì Roma, Vicolo del Moro"
English,Rome,Trastevere Bohemian Night,6,"Trastevere, Basilica di Santa Maria in Trastevere, Piazza Trilussa, Da Enzo al 29, Supplì Roma, Vicolo del Moro"
Turkish,Rome,Roma Gurme Lezzetler,6,"Mercato di Testaccio, Roscioli, Campo de' Fiori, Da Enzo al 29, Mordi e Vai, Supplì Roma"
English,Rome,Gourmet Roman Flavours,6,"Mercato di Testaccio, Roscioli, Campo de' Fiori, Da Enzo al 29, Mordi e Vai, Supplì Roma"
Turkish,Rome,Barok Meydanlar & Çeşmeler,6,"Trevi Çeşmesi, Pantheon, Piazza Navona, Spanish Steps (İspanyol Merdivenleri), Piazza del Popolo, Piazza Venezia"
English,Rome,Baroque Squares & Fountains,6,"Trevi Çeşmesi, Pantheon, Piazza Navona, Spanish Steps (İspanyol Merdivenleri), Piazza del Popolo, Piazza Venezia"
Turkish,Rome,Artizan Dondurma Yolu,6,"Giolitti, Frigidarium, Fatamorgana, Gelateria del Teatro, Old Bridge Gelateria, Come il Latte"
English,Rome,Artisanal Gelato Trail,6,"Giolitti, Frigidarium, Fatamorgana, Gelateria del Teatro, Old Bridge Gelateria, Come il Latte"
Turkish,Rome,Ebedi Şehir Ufukları,6,"Knights of Malta Keyhole, Giardino degli Aranci, Pincio Tepesi, Janiculum (Gianicolo), Villa Borghese, Altare della Patria (Vittoriano)"
English,Rome,Eternal City Horizons,6,"Knights of Malta Keyhole, Giardino degli Aranci, Pincio Tepesi, Janiculum (Gianicolo), Villa Borghese, Altare della Patria (Vittoriano)"
Turkish,Rome,Aperitivo Saati & Manzaralar,6,"Hotel Raphael Terrace, Salotto 42, Etablì, Terrazza Borromini, Freni e Frizioni, Jerry Thomas Speakeasy"
English,Rome,Aperitivo Hour & Views,6,"Hotel Raphael Terrace, Salotto 42, Etablì, Terrazza Borromini, Freni e Frizioni, Jerry Thomas Speakeasy"
Turkish,Rome,Yahudi Mahallesi Mirası,6,"Portico d'Ottavia, Great Synagogue, Nonna Betta, Turtle Fountain, Theatre of Marcellus, Campo de' Fiori"
English,Rome,Jewish Ghetto Heritage,6,"Portico d'Ottavia, Great Synagogue, Nonna Betta, Turtle Fountain, Theatre of Marcellus, Campo de' Fiori"
Turkish,Rome,Erken Kuş Roma Turu,6,"Trevi Çeşmesi, Pantheon, Piazza Navona, İspanyol Merdivenleri, Piazza del Popolo, Castel Sant'Angelo"
English,Rome,Early Bird's Rome,6,"Trevi Çeşmesi, Pantheon, Piazza Navona, İspanyol Merdivenleri, Piazza del Popolo, Castel Sant'Angelo"
Turkish,London,Kraliyet Londra Turu,4,"Buckingham Palace, Big Ben & Westminster, Tower Bridge, Hyde Park"
English,London,Royal London Walk,4,"Buckingham Palace, Big Ben & Westminster, Tower Bridge, Hyde Park"
Turkish,London,Ücretsiz Müze Günü,4,"British Museum, Natural History Museum, V&A Museum, Tate Modern"
English,London,Free Museum Day,4,"British Museum, Natural History Museum, V&A Museum, Tate Modern"
Turkish,London,East End Sokak Sanatı,3,"Brick Lane, Shoreditch, Borough Market"
English,London,East End Street Art,3,"Brick Lane, Shoreditch, Borough Market"
Turkish,London,South Bank Kültür Rotası,4,"Tate Modern, Borough Market, Tower Bridge, St. Paul's Cathedral"
English,London,South Bank Culture,4,"Tate Modern, Borough Market, Tower Bridge, St. Paul's Cathedral"
Turkish,London,Borough Market Turu,3,"Borough Market, Maltby Street Market, The George Inn"
English,London,Borough & Beyond,3,"Borough Market, Maltby Street Market, The George Inn"
Turkish,London,Notting Hill Renkleri,3,"Portobello Road Market, Notting Hill, Hyde Park"
English,London,Notting Hill Colors,3,"Portobello Road Market, Notting Hill, Hyde Park"
Turkish,London,Tarihi Pub Turu,3,"Ye Olde Cheshire Cheese, The Lamb and Flag, Gordon's Wine Bar"
English,London,Historic Pub Crawl,3,"Ye Olde Cheshire Cheese, The Lamb and Flag, Gordon's Wine Bar"
Turkish,London,Kraliyet Parkları,3,"Hyde Park, Notting Hill, Regent's Park"
English,London,Royal Parks Escape,3,"Hyde Park, Notting Hill, Regent's Park"
Turkish,London,Ücretsiz Manzara Noktaları,3,"Sky Garden, Tate Modern, Tower Bridge"
English,London,Free Viewpoints,3,"Sky Garden, Tate Modern, Tower Bridge"
Turkish,London,Camden Alternatif Rota,3,"Camden Market, Shoreditch, Brick Lane"
English,London,Camden Alternative,3,"Camden Market, Shoreditch, Brick Lane"
Turkish,Berlin,Soğuk Savaş Berlini,7,"Berlin Duvarı Anıtı, Checkpoint Charlie, Topography of Terror, Tränenpalast, Holokost Anıtı, Potsdamer Platz, DDR Museum"
English,Berlin,Cold War Berlin,7,"Berlin Duvarı Anıtı, Checkpoint Charlie, Topography of Terror, Tränenpalast, Holokost Anıtı, Potsdamer Platz, DDR Museum"
Turkish,Berlin,Kreuzberg Lokal Hayat,7,"Türkischer Markt, Markthalle Neun, Badeschiff, Victoriapark, Görlitzer Park, Oberbaumbrücke, Curry 36"
English,Berlin,Kreuzberg Local Life,7,"Türkischer Markt, Markthalle Neun, Badeschiff, Victoriapark, Görlitzer Park, Oberbaumbrücke, Curry 36"
Turkish,Berlin,Müze Adası,7,"Müze Adası, Neues Museum, Berliner Dom, Altes Museum, Bode Müzesi, Pergamon Müzesi, James Simon Galeri"
English,Berlin,Museum Island,7,"Müze Adası, Neues Museum, Berliner Dom, Altes Museum, Bode Müzesi, Pergamon Müzesi, James Simon Galeri"
Turkish,Berlin,Döner & Currywurst Turu,6,"Mustafa's Gemüse Kebap, Curry 36, Burgermeister, Markthalle Neun, Konnopke's Imbiss, Risa Chicken"
English,Berlin,Döner & Currywurst Trail,6,"Mustafa's Gemüse Kebap, Curry 36, Burgermeister, Markthalle Neun, Konnopke's Imbiss, Risa Chicken"
Turkish,Berlin,Gece Hayatı Girişi,7,"RAW-Gelände, Urban Spree, Berghain, Watergate, Tresor, Wilden Renate, Kater Blau"
English,Berlin,Club Scene Intro,7,"RAW-Gelände, Urban Spree, Berghain, Watergate, Tresor, Wilden Renate, Kater Blau"
Turkish,Berlin,Tempelhof Özgürlüğü,6,"Tempelhof Park, Schillerkiez, Klunkerkranich, Körnerpark, Hasenheide, Bergmannkiez"
English,Berlin,Tempelhof Freedom,6,"Tempelhof Park, Schillerkiez, Klunkerkranich, Körnerpark, Hasenheide, Bergmannkiez"
Turkish,Berlin,Pazar Günü Mauerpark,6,"Mauerpark, Prenzlauer Berg, Bernauer Strasse, Kulturbrauerei, Arkonaplatz Flea Market, Prater Biergarten"
English,Berlin,Sunday at Mauerpark,6,"Mauerpark, Prenzlauer Berg, Bernauer Strasse, Kulturbrauerei, Arkonaplatz Flea Market, Prater Biergarten"
Turkish,Berlin,Prenzlauer Berg Kahvaltısı,6,"Prenzlauer Berg, Mauerpark, Kollwitzplatz, Kastanienallee, Rykestrasse Synagogue, Helmholtzplatz"
English,Berlin,Prenzlauer Berg Brunch,6,"Prenzlauer Berg, Mauerpark, Kollwitzplatz, Kastanienallee, Rykestrasse Synagogue, Helmholtzplatz"
Turkish,Berlin,Yahudi Berlin,6,"Holokost Anıtı, Jewish Museum, Topography of Terror, New Synagogue, Otto Weidt's Workshop, Gleis 17"
English,Berlin,Jewish Berlin,6,"Holokost Anıtı, Jewish Museum, Topography of Terror, New Synagogue, Otto Weidt's Workshop, Gleis 17"
Turkish,Berlin,Sokak Sanatı Turu,6,"East Side Gallery, RAW Gelände, Urban Spree, Haus Schwarzenberg, Teufelsberg, Mauerpark Murals"
English,Berlin,Street Art Safari,6,"East Side Gallery, RAW Gelände, Urban Spree, Haus Schwarzenberg, Teufelsberg, Mauerpark Murals"
Turkish,Amsterdam,Altın Çağ Kanalları,6,"Kanal Turu, Dam Meydanı, Begijnhof, Anne Frank Evi, Westerkerk, De 9 Straatjes"
English,Amsterdam,Golden Age Canals,6,"Kanal Turu, Dam Meydanı, Begijnhof, Anne Frank Evi, Westerkerk, De 9 Straatjes"
Turkish,Amsterdam,Sanat & Başyapıtlar Yolu,6,"Rijksmuseum, Van Gogh Müzesi, Stedelijk Museum, Moco Museum, Vondelpark, Concertgebouw"
English,Amsterdam,Art & Masterpieces Trail,6,"Rijksmuseum, Van Gogh Müzesi, Stedelijk Museum, Moco Museum, Vondelpark, Concertgebouw"
Turkish,Amsterdam,Jordaan Bohem Gezisi,6,"Jordaan, Anne Frank Evi, Winkel 43, Noordermarkt, Prinsengracht, Westerstraat"
English,Amsterdam,Jordaan Bohemian Wander,6,"Jordaan, Anne Frank Evi, Winkel 43, Noordermarkt, Prinsengracht, Westerstraat"
Turkish,Amsterdam,Hollanda Lezzetleri & Pazarlar,6,"Albert Cuyp Markt, Foodhallen, Heineken Experience, Brouwerij 't IJ, Van Stapele, Winkel 43"
English,Amsterdam,Dutch Flavours & Markets,6,"Albert Cuyp Markt, Foodhallen, Heineken Experience, Brouwerij 't IJ, Van Stapele, Winkel 43"
Turkish,Amsterdam,Yerel Gibi Bisiklet Turu,6,"Vondelpark, NDSM Wharf, A'DAM Lookout, Westerpark, IJ Ferry Cruise, Museumplein"
English,Amsterdam,Bike Like a Local,6,"Vondelpark, NDSM Wharf, A'DAM Lookout, Westerpark, IJ Ferry Cruise, Museumplein"
Turkish,Amsterdam,De Pijp Bohem Rotaları,6,"Albert Cuyp Markt, Sarphatipark, Gerard Douplein, Heineken Experience, Museumplein, Rijksmuseum"
English,Amsterdam,De Pijp Bohemian Vibes,6,"Albert Cuyp Markt, Sarphatipark, Gerard Douplein, Heineken Experience, Museumplein, Rijksmuseum"
Turkish,Amsterdam,Red Light & Gizli Cevherler,6,"Red Light District, Nieuwmarkt, Rembrandtplein, Door 74, Tales & Spirits, SkyLounge Amsterdam"
English,Amsterdam,Red Light & Hidden Gems,6,"Red Light District, Nieuwmarkt, Rembrandtplein, Door 74, Tales & Spirits, SkyLounge Amsterdam"
Turkish,Amsterdam,Noord Endüstriyel Stil,6,"EYE Filmmuseum, NDSM Wharf, A'DAM Lookout, Straat Museum, Pllek, IJ Ferry Cruise"
English,Amsterdam,Noord Industrial Cool,6,"EYE Filmmuseum, NDSM Wharf, A'DAM Lookout, Straat Museum, Pllek, IJ Ferry Cruise"
Turkish,Amsterdam,Amsterdam'ın Yeşil Bahçeleri,6,"Vondelpark, Hortus Botanicus, Oosterpark, Rembrandtpark, Westerpark, Beatrixpark"
English,Amsterdam,Amsterdam's Green Oases,6,"Vondelpark, Hortus Botanicus, Oosterpark, Rembrandtpark, Westerpark, Beatrixpark"
Turkish,Amsterdam,Artizan Kahve & Kafeler,6,"Lot Sixty One Coffee, Coffee & Coconuts, Pluk, Winkel 43, De Laatste Kruimel, Hannekes Boom"
English,Amsterdam,Artisanal Coffee & Cafes,6,"Lot Sixty One Coffee, Coffee & Coconuts, Pluk, Winkel 43, De Laatste Kruimel, Hannekes Boom"
Turkish,NewYork,İkonik Manhattan,4,"Times Square, Empire State Building, Central Park, Rockefeller Center"
English,NewYork,Iconic Manhattan,4,"Times Square, Empire State Building, Central Park, Rockefeller Center"
Turkish,NewYork,Brooklyn Köprüsü,6,"Brooklyn Bridge, DUMBO, Pebble Beach, Time Out Market, Brooklyn Bridge Park, Grimaldi's"
English,NewYork,Brooklyn Bridge & DUMBO,6,"Brooklyn Bridge, DUMBO, Pebble Beach, Time Out Market, Brooklyn Bridge Park, Grimaldi's"
Turkish,NewYork,High Line Parkuru,4,"High Line, Chelsea Market, Little Island, Whitney Museum"
English,NewYork,High Line & Chelsea,4,"High Line, Chelsea Market, Little Island, Whitney Museum"
Turkish,NewYork,NY Yemek Turu,4,"Joe's Pizza, Katz's Deli, Ess-a-Bagel, Junior's"
English,NewYork,NYC Food Crawl,4,"Joe's Pizza, Katz's Deli, Ess-a-Bagel, Junior's"
Turkish,NewYork,Müze Rotası,4,"Metropolitan Museum, MoMA, Guggenheim, Neue Galerie"
English,NewYork,Museum Mile,4,"Metropolitan Museum, MoMA, Guggenheim, Neue Galerie"
Turkish,NewYork,Williamsburg,3,"Bedford Avenue, Smorgasburg, Domino Park"
English,NewYork,Williamsburg Hipster,3,"Bedford Avenue, Smorgasburg, Domino Park"
Turkish,NewYork,Gökdelen Manzaraları,3,"Top of the Rock, SUMMIT One Vanderbilt, Brooklyn Promenade"
English,NewYork,Skyline Views,3,"Top of the Rock, SUMMIT One Vanderbilt, Brooklyn Promenade"
Turkish,NewYork,Broadway Gecesi,3,"Broadway Theater District, 230 Fifth Rooftop, Blue Note"
English,NewYork,Broadway & Nightlife,3,"Broadway Theater District, 230 Fifth Rooftop, Blue Note"
Turkish,NewYork,Central Park Keşfi,3,"Bethesda Fountain, The Ramble, Belvedere Castle"
English,NewYork,Central Park Deep Dive,3,"Bethesda Fountain, The Ramble, Belvedere Castle"
Turkish,NewYork,SoHo Alışverişi,3,"Broadway SoHo, Greene Street, Nolita"
English,NewYork,SoHo Shopping,3,"Broadway SoHo, Greene Street, Nolita"
Turkish,Tokyo,Tokyo Temelleri,6,"Shibuya Crossing, Hachiko Statue, Meiji Shrine, Yoyogi Park, Senso-ji Temple, Tokyo Tower"
English,Tokyo,Tokyo Essentials,6,"Shibuya Crossing, Hachiko Statue, Meiji Shrine, Yoyogi Park, Senso-ji Temple, Tokyo Tower"
Turkish,Tokyo,Ramen Rotası,6,"Ichiran Ramen, Afuri Ramen (Yuzu Ramen), Fuunji (Tsukemen), Ramen Street (Tokyo Station), Rokurinsha, Nakiryu (Michelin Star)"
English,Tokyo,Ramen Pilgrimage,6,"Ichiran Ramen, Afuri Ramen (Yuzu Ramen), Fuunji (Tsukemen), Ramen Street (Tokyo Station), Rokurinsha, Nakiryu (Michelin Star)"
Turkish,Tokyo,Akihabara Geek Turu,6,"Akihabara Electric Town, Mandarake Complex, Yodobashi Camera, Radio Kaikan, Super Potato (Retro Games), Maid Cafe"
English,Tokyo,Akihabara Geek Tour,6,"Akihabara Electric Town, Mandarake Complex, Yodobashi Camera, Radio Kaikan, Super Potato (Retro Games), Maid Cafe"
Turkish,Tokyo,Shibuya & Harajuku,5,"Shibuya Crossing, Miyashita Park, Takeshita Street, Cat Street, Omotesando"
English,Tokyo,Shibuya & Harajuku,5,"Shibuya Crossing, Miyashita Park, Takeshita Street, Cat Street, Omotesando"
Turkish,Tokyo,Tsukiji Pazar,5,"Tsukiji Outer Market, Sushizanmai Main Branch, Tamagoyaki shops, Tsukiji Hongwanji Temple, Kitsuneya (Beef Bowls)"
English,Tokyo,Tsukiji Outer Market,5,"Tsukiji Outer Market, Sushizanmai Main Branch, Tamagoyaki shops, Tsukiji Hongwanji Temple, Kitsuneya (Beef Bowls)"
Turkish,Tokyo,Shinjuku Gecesi,6,"Kabukicho, Golden Gai, Omoide Yokocho (Piss Alley), Shinjuku Gyoen National Garden, Hanazono Shrine, Tokyo Metropolitan Govt Building"
English,Tokyo,Shinjuku Night,6,"Kabukicho, Golden Gai, Omoide Yokocho (Piss Alley), Shinjuku Gyoen National Garden, Hanazono Shrine, Tokyo Metropolitan Govt Building"
Turkish,Tokyo,TeamLab Dijital Sanat,5,"TeamLab Planets TOYOSU, TeamLab Borderless (Azabudai Hills), Mori Art Museum, Tokyo City View, Roppongi Hills"
English,Tokyo,TeamLab Digital Art,5,"TeamLab Planets TOYOSU, TeamLab Borderless (Azabudai Hills), Mori Art Museum, Tokyo City View, Roppongi Hills"
Turkish,Tokyo,Shimokitazawa,5,"Shimokitazawa Station, Vintage Clothing Shops, Basement Bar (Live Music), Shirohige’s Cream Puff Factory, Setagaya Park"
English,Tokyo,Shimokitazawa Vintage,5,"Shimokitazawa Station, Vintage Clothing Shops, Basement Bar (Live Music), Shirohige’s Cream Puff Factory, Setagaya Park"
Turkish,Tokyo,Konbini Turu,3,"7-Eleven, Lawson, Family Mart"
English,Tokyo,Konbini Food Tour,3,"7-Eleven, Lawson, Family Mart"
Turkish,Tokyo,Eski Tokyo Asakusa,3,"Senso-ji Temple, Nakamise Street, Kaminarimon Gate"
English,Tokyo,Old Tokyo Asakusa,3,"Senso-ji Temple, Nakamise Street, Kaminarimon Gate"
Turkish,Sevilla,Sevilla'nın Tarihi Kalbi,8,"Real Alcázar, Catedral & Giralda, Plaza de España, Plaza del Cabildo, Archivo de Indias, Santa Cruz Neighborhood, Hospital de los Venerables, Jardines de Murillo"
English,Sevilla,Historic Heart of Seville,8,"Real Alcázar, Catedral & Giralda, Plaza de España, Plaza del Cabildo, Archivo de Indias, Santa Cruz Neighborhood, Hospital de los Venerables, Jardines de Murillo"
Turkish,Sevilla,Triana & Nehir Keyfi,7,"Triana, Torre del Oro, Mercado Lonja del Barranco, Castillo de San Jorge, Calle Betis, Puente de Isabel II, Mercado de Triana"
English,Sevilla,Triana & River Vibes,7,"Triana, Torre del Oro, Mercado Lonja del Barranco, Castillo de San Jorge, Calle Betis, Puente de Isabel II, Mercado de Triana"
Turkish,Sevilla,Modern Sevilla & Parklar,7,"Metropol Parasol (Las Setas), Plaza de España, Torre Sevilla, Maria Luisa Park, Pabellón de la Navegación, CaixaForum Sevilla, Puente de la Barqueta"
English,Sevilla,Modern Seville & Parks,7,"Metropol Parasol (Las Setas), Plaza de España, Torre Sevilla, Maria Luisa Park, Pabellón de la Navegación, CaixaForum Sevilla, Puente de la Barqueta"
Turkish,Sevilla,Otantik Tapas Turu,7,"Bodega Santa Cruz (Las Columnas), Eslava, El Rinconcillo, Casa Morales, Las Teresas, Mercado de la Encarnación, Cañabota"
English,Sevilla,Authentic Tapas Crawl,7,"Bodega Santa Cruz (Las Columnas), Eslava, El Rinconcillo, Casa Morales, Las Teresas, Mercado de la Encarnación, Cañabota"
